Date,Open,High,Low,Close,Price,Change %
2007-10-01,1.1623,1.1894,1.1555,1.1583,1.1583,-0.52%
2007-11-01,1.1585,1.1638,1.0896,1.1324,1.1324,-2.24%
2007-12-01,1.1308,1.1626,1.1153,1.1338,1.1338,0.12%
2008-01-01,1.1335,1.1347,1.0757,1.0807,1.0807,-4.68%
2008-02-01,1.082,1.1108,1.041,1.0412,1.0412,-3.66%
2008-03-01,1.04,1.0457,0.9677,0.9937,0.9937,-4.56%
2008-04-01,0.9948,1.0443,0.9888,1.0354,1.0354,4.20%
2008-05-01,1.0354,1.0625,1.0216,1.0423,1.0423,0.67%
2008-06-01,1.042,1.0542,1.013,1.0209,1.0209,-2.05%
2008-07-01,1.0209,1.0523,1.0011,1.0472,1.0472,2.58%
2008-08-01,1.0477,1.1089,1.0434,1.1014,1.1014,5.18%
2008-09-01,1.0983,1.1421,1.0695,1.1214,1.1214,1.82%
2008-10-01,1.1199,1.175,1.1127,1.1578,1.1578,3.25%
2008-11-01,1.1576,1.2302,1.1476,1.2138,1.2138,4.84%
2008-12-01,1.213,1.2253,1.037,1.0672,1.0672,-12.08%
2009-01-01,1.0708,1.1717,1.061,1.161,1.161,8.79%
2009-02-01,1.1623,1.1886,1.14,1.1708,1.1708,0.84%
2009-03-01,1.1716,1.197,1.1162,1.1393,1.1393,-2.69%
2009-04-01,1.1402,1.1744,1.124,1.1412,1.1412,0.17%
2009-05-01,1.1415,1.1425,1.0657,1.0668,1.0668,-6.52%
2009-06-01,1.068,1.1025,1.0592,1.086,1.086,1.80%
2009-07-01,1.086,1.0958,1.0623,1.0686,1.0686,-1.60%
2009-08-01,1.0676,1.0885,1.0525,1.059,1.059,-0.90%
2009-09-01,1.0591,1.0708,1.0187,1.036,1.036,-2.17%
2009-10-01,1.0362,1.0457,1.0034,1.0265,1.0265,-0.92%
2009-11-01,1.026,1.034,0.9916,1.0051,1.0051,-2.08%
2009-12-01,1.005,1.0509,0.996,1.0356,1.0356,3.03%
2010-01-01,1.0344,1.0643,1.0129,1.0606,1.0606,2.41%
2010-02-01,1.0603,1.09,1.0495,1.0736,1.0736,1.23%
2010-03-01,1.0742,1.0893,1.0488,1.0538,1.0538,-1.84%
2010-04-01,1.0542,1.0928,1.0435,1.0777,1.0777,2.27%
2010-05-01,1.0749,1.17,1.0742,1.155,1.155,7.17%
2010-06-01,1.1558,1.1735,1.0754,1.0775,1.0775,-6.71%
2010-07-01,1.0772,1.0792,1.0362,1.0417,1.0417,-3.32%
2010-08-01,1.0408,1.0631,1.0137,1.0145,1.0145,-2.61%
2010-09-01,1.0147,1.0279,0.9708,0.9823,0.9823,-3.17%
2010-10-01,0.9832,0.9931,0.9463,0.9822,0.9822,-0.01%
2010-11-01,0.9823,1.0055,0.9545,1.0043,1.0043,2.25%
2010-12-01,1.0042,1.0071,0.9303,0.934,0.934,-7.00%
2011-01-01,0.9345,0.9787,0.9317,0.9442,0.9442,1.09%
2011-02-01,0.9446,0.9778,0.9234,0.9292,0.9292,-1.59%
2011-03-01,0.929,0.9372,0.8938,0.9186,0.9186,-1.14%
2011-04-01,0.9189,0.9347,0.8629,0.8657,0.8657,-5.76%
2011-05-01,0.865,0.8951,0.8468,0.8542,0.8542,-1.33%
2011-06-01,0.8539,0.8554,0.8274,0.8404,0.8404,-1.62%
2011-07-01,0.8407,0.8528,0.7853,0.7855,0.7855,-6.53%
2011-08-01,0.7929,0.8241,0.7087,0.8059,0.8059,2.60%
2011-09-01,0.8066,0.9184,0.771,0.9081,0.9081,12.68%
2011-10-01,0.9099,0.9316,0.8569,0.8774,0.8774,-3.38%
2011-11-01,0.877,0.9331,0.8759,0.9132,0.9132,4.08%
2011-12-01,0.9137,0.9552,0.9072,0.938,0.938,2.72%
2012-01-01,0.939,0.9597,0.9117,0.9205,0.9205,-1.87%
2012-02-01,0.9203,0.9301,0.8928,0.9043,0.9043,-1.76%
2012-03-01,0.9043,0.9336,0.9008,0.9022,0.9022,-0.23%
2012-04-01,0.9011,0.9253,0.9,0.9073,0.9073,0.57%
2012-05-01,0.9073,0.9738,0.9042,0.9719,0.9719,7.12%
2012-06-01,0.9718,0.9774,0.9419,0.9486,0.9486,-2.40%
2012-07-01,0.9479,0.9973,0.9476,0.9765,0.9765,2.94%
2012-08-01,0.9766,0.99,0.9502,0.9551,0.9551,-2.19%
2012-09-01,0.9553,0.9611,0.9238,0.9399,0.9399,-1.59%
2012-10-01,0.9408,0.9443,0.9214,0.9314,0.9314,-0.90%
